2026-07-28 20:38:41.289 | WARNING  | node_item_name_recognition.py:step_5_generate_vectors:300  - 商品名称为空，跳过向量生成，返回空向量
2026-07-28 20:38:41.311 | INFO     | node_item_name_recognition.py:step_6_save_to_milvus:350  - 开始执行步骤6：将商品名称[HAK180烫金机]保存到Milvus集合[item_names]
2026-07-28 20:38:41.383 | INFO     | node_item_name_recognition.py:step_1_get_inputs:130  - 步骤1：输入校验完成，获取到6个有效文本切片
2026-07-28 20:38:41.410 | INFO     | node_item_name_recognition.py:step_2_build_context:193  - 步骤2：上下文构建完成，最终长度586字符
2026-07-28 20:38:41.434 | INFO     | node_item_name_recognition.py:step_4_update_chunks:281  - 步骤4：商品名称回填完成，共为6个切片添加item_name字段，值为：HAK180烫金机
2026-07-28 20:38:41.456 | INFO     | node_item_name_recognition.py:process        :84   - >>> 核心节点执行完成：【商品名称识别】node_item_name_recognition，识别结果：HAK180烫金机，已存入Milvus
2026-07-28 20:38:41.484 | INFO     | node_item_name_recognition.py:step_1_get_inputs:130  - 步骤1：输入校验完成，获取到6个有效文本切片
2026-07-28 20:38:41.508 | INFO     | node_item_name_recognition.py:step_2_build_context:193  - 步骤2：上下文构建完成，最终长度586字符
2026-07-28 20:38:41.534 | ERROR    | node_item_name_recognition.py:process        :88   - >>> 核心节点执行失败：【商品名称识别】node_item_name_recognition，错误信息：unexpected
2026-07-28 20:40:33.295 | WARNING  | node_item_name_recognition.py:step_1_get_inputs:119  - state中无有效file_title，已从第一个切片中提取兜底标题
2026-07-28 20:40:33.927 | INFO     | node_item_name_recognition.py:step_1_get_inputs:130  - 步骤1：输入校验完成，获取到6个有效文本切片
2026-07-28 20:40:33.951 | WARNING  | node_item_name_recognition.py:step_1_get_inputs:127  - state中chunks为空或非列表类型，无法进行商品名称识别
2026-07-28 20:40:33.970 | INFO     | node_item_name_recognition.py:step_2_build_context:193  - 步骤2：上下文构建完成，最终长度586字符
2026-07-28 20:40:34.008 | INFO     | node_item_name_recognition.py:step_2_build_context:193  - 步骤2：上下文构建完成，最终长度18字符
2026-07-28 20:40:34.032 | INFO     | node_item_name_recognition.py:step_3_call_llm:214  - 开始执行步骤3：调用大模型识别商品名称
2026-07-28 20:40:34.055 | INFO     | node_item_name_recognition.py:step_3_call_llm:252  - 步骤3：大模型识别商品名称成功，结果为：HAK180烫金机
2026-07-28 20:40:34.081 | INFO     | node_item_name_recognition.py:step_3_call_llm:214  - 开始执行步骤3：调用大模型识别商品名称
2026-07-28 20:40:34.106 | WARNING  | node_item_name_recognition.py:step_3_call_llm:249  - 大模型返回空内容，使用文件标题作为商品名称兜底
2026-07-28 20:40:34.125 | INFO     | node_item_name_recognition.py:step_3_call_llm:214  - 开始执行步骤3：调用大模型识别商品名称
2026-07-28 20:40:34.148 | ERROR    | node_item_name_recognition.py:step_3_call_llm:256  - 步骤3：大模型调用失败，原因：LLM unavailable
2026-07-28 20:40:34.181 | INFO     | node_item_name_recognition.py:step_3_call_llm:214  - 开始执行步骤3：调用大模型识别商品名称
2026-07-28 20:40:34.205 | WARNING  | node_item_name_recognition.py:step_3_call_llm:218  - 上下文为空，跳过大模型调用，直接使用文件标题作为商品名称
2026-07-28 20:40:34.235 | INFO     | node_item_name_recognition.py:step_4_update_chunks:281  - 步骤4：商品名称回填完成，共为6个切片添加item_name字段，值为：HAK180烫金机
2026-07-28 20:40:34.264 | INFO     | node_item_name_recognition.py:step_5_generate_vectors:296  - 开始执行步骤5：为商品名称[HAK180烫金机]生成BGE-M3双向量
2026-07-28 20:40:34.288 | WARNING  | node_item_name_recognition.py:step_5_generate_vectors:315  - 步骤5：向量生成工具返回空结果，无法提取双向量
2026-07-28 20:40:34.318 | INFO     | node_item_name_recognition.py:step_5_generate_vectors:296  - 开始执行步骤5：为商品名称[]生成BGE-M3双向量
2026-07-28 20:40:34.341 | WARNING  | node_item_name_recognition.py:step_5_generate_vectors:300  - 商品名称为空，跳过向量生成，返回空向量
2026-07-28 20:40:34.363 | INFO     | node_item_name_recognition.py:step_6_save_to_milvus:350  - 开始执行步骤6：将商品名称[HAK180烫金机]保存到Milvus集合[item_names]
2026-07-28 20:40:34.429 | INFO     | node_item_name_recognition.py:step_1_get_inputs:130  - 步骤1：输入校验完成，获取到6个有效文本切片
2026-07-28 20:40:34.454 | INFO     | node_item_name_recognition.py:step_2_build_context:193  - 步骤2：上下文构建完成，最终长度586字符
2026-07-28 20:40:34.476 | INFO     | node_item_name_recognition.py:step_4_update_chunks:281  - 步骤4：商品名称回填完成，共为6个切片添加item_name字段，值为：HAK180烫金机
2026-07-28 20:40:34.505 | INFO     | node_item_name_recognition.py:process        :84   - >>> 核心节点执行完成：【商品名称识别】node_item_name_recognition，识别结果：HAK180烫金机，已存入Milvus
2026-07-28 20:40:34.537 | INFO     | node_item_name_recognition.py:step_1_get_inputs:130  - 步骤1：输入校验完成，获取到6个有效文本切片
2026-07-28 20:40:34.563 | INFO     | node_item_name_recognition.py:step_2_build_context:193  - 步骤2：上下文构建完成，最终长度586字符
2026-07-28 20:40:34.583 | ERROR    | node_item_name_recognition.py:process        :88   - >>> 核心节点执行失败：【商品名称识别】node_item_name_recognition，错误信息：unexpected
2026-07-28 20:44:33.967 | ERROR    | milvus_client.py    :get_milvus_client:30   - Milvus客户端连接异常：'MilvusConfig' object has no attribute 'milvus_pass'
2026-07-28 20:45:25.937 | INFO     | node_item_name_recognition.py:step_6_save_to_milvus:350  - 开始执行步骤6：将商品名称[HAK180烫金机]保存到Milvus集合[kb_item_names]
2026-07-28 20:45:26.710 | INFO     | node_item_name_recognition.py:step_6_save_to_milvus:361  - Milvus集合[kb_item_names]不存在，开始创建Schema和索引
2026-07-28 20:45:26.723 | ERROR    | node_item_name_recognition.py:step_6_save_to_milvus:460  - 步骤6：数据存入Milvus失败，原因：CollectionSchema.add_field() missing 1 required positional argument: 'field_name'
